Name,Coef.,Std. Error,z,Pr(>|z|)
(Intercept),1.7390311623883625,0.20463825160542012,8.498074767280224,1.9276094427838945e-17
PitchAccent,-0.24706383509567648,0.08032346952924095,-3.0758610969330125,0.0020989560171470883
SemanticFit,0.44728378835288735,0.15227199551093806,2.9374001887350185,0.003309766941037967
TransitivityBias,-0.2084948746026948,0.16072415612463162,-1.2972217719470864,0.1945548916070153
